categorie;theme;groupe_numerologie;groupe_titre;sous_groupe_numerologie;sous_groupe;lien_sous_groupe_schema;lien_sous_groupe_liste
1;L'entreprise et son management;11;Gestion de l'entreprise;111;ORGANISATION;https://aciege.org/Schm/Fra/FRA_111.html;https://aciege.org/CS/Fra/FRA_111.html
1;L'entreprise et son management;11;Gestion de l'entreprise;112;ENTREPRISE;https://aciege.org/Schm/Fra/FRA_112.html;https://aciege.org/CS/Fra/FRA_112.html
1;L'entreprise et son management;11;Gestion de l'entreprise;113;STRATEGIE;https://aciege.org/Schm/Fra/FRA_113.html;https://aciege.org/CS/Fra/FRA_113.html
1;L'entreprise et son management;12;Marketing;121;GESTION DU MARKETING;https://aciege.org/Schm/Fra/FRA_121.html;https://aciege.org/CS/Fra/FRA_121.html
1;L'entreprise et son management;12;Marketing;122;ETUDE DE MARCHE;https://aciege.org/Schm/Fra/FRA_122.html;https://aciege.org/CS/Fra/FRA_122.html
1;L'entreprise et son management;12;Marketing;123;DISTRIBUTION;https://aciege.org/Schm/Fra/FRA_123.html;https://aciege.org/CS/Fra/FRA_123.html
1;L'entreprise et son management;12;Marketing;124;VENTE;https://aciege.org/Schm/Fra/FRA_124.html;https://aciege.org/CS/Fra/FRA_124.html
1;L'entreprise et son management;12;Marketing;125;PUBLICITE;https://aciege.org/Schm/Fra/FRA_125.html;https://aciege.org/CS/Fra/FRA_125.html
1;L'entreprise et son management;13;Finance;131;FINANCE D'ENTREPRISE;https://aciege.org/Schm/Fra/FRA_131.html;https://aciege.org/CS/Fra/FRA_131.html
1;L'entreprise et son management;13;Finance;132;COMPTABILITE;https://aciege.org/Schm/Fra/FRA_132.html;https://aciege.org/CS/Fra/FRA_132.html
1;L'entreprise et son management;13;Finance;133;CONTROLE DE GESTION;https://aciege.org/Schm/Fra/FRA_133.html;https://aciege.org/CS/Fra/FRA_133.html
1;L'entreprise et son management;13;Finance;134;FINANCE DE MARCHE;https://aciege.org/Schm/Fra/FRA_134.html;https://aciege.org/CS/Fra/FRA_134.html
1;L'entreprise et son management;14;Production;141;GESTION DE LA PRODUCTION;https://aciege.org/Schm/Fra/FRA_141.html;https://aciege.org/CS/Fra/FRA_141.html
1;L'entreprise et son management;14;Production;142;TECHNIQUE INDUSTRIELLE;https://aciege.org/Schm/Fra/FRA_142.html;https://aciege.org/CS/Fra/FRA_142.html
1;L'entreprise et son management;14;Production;143;TRANSPORT;https://aciege.org/Schm/Fra/FRA_143.html;https://aciege.org/CS/Fra/FRA_143.html
1;L'entreprise et son management;15;Recherche;151;RECHERCHE ET DEVELOPPEMENT;https://aciege.org/Schm/Fra/FRA_151.html;https://aciege.org/CS/Fra/FRA_151.html
1;L'entreprise et son management;15;Recherche;152;TECHNOLOGIE;https://aciege.org/Schm/Fra/FRA_152.html;https://aciege.org/CS/Fra/FRA_152.html
1;L'entreprise et son management;16;Relations humaines;161;GESTION DES RESSOURCES HUMAINES;https://aciege.org/Schm/Fra/FRA_161.html;https://aciege.org/CS/Fra/FRA_161.html
1;L'entreprise et son management;16;Relations humaines;162;RELATIONS DU TRAVAIL;https://aciege.org/Schm/Fra/FRA_162.html;https://aciege.org/CS/Fra/FRA_162.html
1;L'entreprise et son management;16;Relations humaines;163;FORMATION;https://aciege.org/Schm/Fra/FRA_163.html;https://aciege.org/CS/Fra/FRA_163.html
1;L'entreprise et son management;16;Relations humaines;164;SCIENCE DU COMPORTEMENT;https://aciege.org/Schm/Fra/FRA_164.html;https://aciege.org/CS/Fra/FRA_164.html
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
1;L'entreprise et son management;16;Relations humaines;;;;
2;Les outils pour gérer l'entreprise;21;Science des données;211;MATHEMATIQUES;https://aciege.org/Schm/Fra/FRA_211.html;https://aciege.org/CS/Fra/FRA_211.html
