sous_groupe;descripteur_code;descripteur;relation;cible_code;cible_libelle;cible_url
111;111_48;ANALYSE DES SYSTEMES;terme_generique;111_47;THEORIE DES SYSTEMES;https://aciege.org/Dct/Fra/Fra_111_47.html
111;111_68;APPRENTISSAGE ORGANISATIONNEL;terme_generique;111_57;DEVELOPPEMENT DES ORGANISATIONS;https://aciege.org/Dct/Fra/Fra_111_57.html
111;111_68;APPRENTISSAGE ORGANISATIONNEL;employe_pour;Or_3258;Organisation apprenante;https://aciege.org/Dct/Fra/Or_3258.html
111;111_96;BUREAUCRATIE;terme_generique;111_76;STYLE DE MANAGEMENT;https://aciege.org/Dct/Fra/Fra_111_76.html
111;111_35;CHAINE DE VALEUR;terme_generique;111_55;ORGANISATION;https://aciege.org/Dct/Fra/Fra_111_55.html
111;111_35;CHAINE DE VALEUR;terme_specifique;111_25;COMPETITIVITE;https://aciege.org/Dct/Fra/Fra_111_25.html
111;111_58;CHANGEMENT ORGANISATIONNEL;terme_generique;111_57;DEVELOPPEMENT DES ORGANISATIONS;https://aciege.org/Dct/Fra/Fra_111_57.html
111;111_58;CHANGEMENT ORGANISATIONNEL;employe_pour;Ag_2414;Agilité de l'entreprise;https://aciege.org/Dct/Fra/Ag_2414.html
111;111_58;CHANGEMENT ORGANISATIONNEL;employe_pour;Re_3420;Reengineering;https://aciege.org/Dct/Fra/Re_3420.html
111;111_58;CHANGEMENT ORGANISATIONNEL;employe_pour;Re_3453;Réforme de l'entreprise;https://aciege.org/Dct/Fra/Re_3453.html
111;111_02;CHEF D'ENTREPRISE;terme_generique;111_22;HIERARCHIE;https://aciege.org/Dct/Fra/Fra_111_22.html
111;111_02;CHEF D'ENTREPRISE;employe_pour;En_2835;Entrepreneur;https://aciege.org/Dct/Fra/En_2835.html
111;111_78;COMMUNAUTE DE PRATIQUE;terme_generique;111_77;MANAGEMENT DES CONNAISSANCES;https://aciege.org/Dct/Fra/Fra_111_77.html
111;111_25;COMPETITIVITE;terme_generique;111_35;CHAINE DE VALEUR;https://aciege.org/Dct/Fra/Fra_111_35.html
111;111_25;COMPETITIVITE;employe_pour;Av_2499;Avantage Concurrentiel;https://aciege.org/Dct/Fra/Av_2499.html
