source_id;target_id;relation;kind
00;0;skos:broader;structural
01;0;skos:broader;structural
02;0;skos:broader;structural
03;0;skos:broader;structural
04;0;skos:broader;structural
05;0;skos:broader;structural
06;0;skos:broader;structural
11;1;skos:broader;structural
12;1;skos:broader;structural
13;1;skos:broader;structural
14;1;skos:broader;structural
15;1;skos:broader;structural
16;1;skos:broader;structural
21;2;skos:broader;structural
22;2;skos:broader;structural
31;3;skos:broader;structural
32;3;skos:broader;structural
33;3;skos:broader;structural
34;3;skos:broader;structural
35;3;skos:broader;structural
36;3;skos:broader;structural
41;4;skos:broader;structural
42;4;skos:broader;structural
001;00;skos:broader;structural
002;00;skos:broader;structural
011;01;skos:broader;structural
021;02;skos:broader;structural
031;03;skos:broader;structural
041;04;skos:broader;structural
051;05;skos:broader;structural
061;06;skos:broader;structural
111;11;skos:broader;structural
112;11;skos:broader;structural
113;11;skos:broader;structural
121;12;skos:broader;structural
122;12;skos:broader;structural
123;12;skos:broader;structural
124;12;skos:broader;structural
125;12;skos:broader;structural
131;13;skos:broader;structural
132;13;skos:broader;structural
133;13;skos:broader;structural
134;13;skos:broader;structural
141;14;skos:broader;structural
142;14;skos:broader;structural
143;14;skos:broader;structural
151;15;skos:broader;structural
152;15;skos:broader;structural
161;16;skos:broader;structural
162;16;skos:broader;structural
163;16;skos:broader;structural
164;16;skos:broader;structural
211;21;skos:broader;structural
212;21;skos:broader;structural
213;21;skos:broader;structural
222;22;skos:broader;structural
223;22;skos:broader;structural
224;22;skos:broader;structural
311;31;skos:broader;structural
321;32;skos:broader;structural
322;32;skos:broader;structural
323;32;skos:broader;structural
324;32;skos:broader;structural
331;33;skos:broader;structural
332;33;skos:broader;structural
333;33;skos:broader;structural
334;33;skos:broader;structural
335;33;skos:broader;structural
341;34;skos:broader;structural
342;34;skos:broader;structural
351;35;skos:broader;structural
352;35;skos:broader;structural
361;36;skos:broader;structural
362;36;skos:broader;structural
410;41;skos:broader;structural
411;41;skos:broader;structural
412;41;skos:broader;structural
413;41;skos:broader;structural
414;41;skos:broader;structural
415;41;skos:broader;structural
416;41;skos:broader;structural
420;42;skos:broader;structural
421;42;skos:broader;structural
422;42;skos:broader;structural
423;42;skos:broader;structural
424;42;skos:broader;structural
425;42;skos:broader;structural
426;42;skos:broader;structural
427;42;skos:broader;structural
428;42;skos:broader;structural
429;42;skos:broader;structural
001_00;001;skos:broader;structural
001_02;001;skos:broader;structural
001_02;001_00;skos:broader;zthes_BT
001_04;001;skos:broader;structural
001_04;001_00;skos:broader;zthes_BT
001_07;001;skos:broader;structural
001_07;001_00;skos:broader;zthes_BT
001_09;001;skos:broader;structural
001_09;001_00;skos:broader;zthes_BT
001_16;001;skos:broader;structural
001_16;001_00;skos:broader;zthes_BT
001_30;001;skos:broader;structural
001_30;001_00;skos:broader;zthes_BT
001_44;001;skos:broader;structural
001_44;001_00;skos:broader;zthes_BT
001_57;001;skos:broader;structural
001_57;001_00;skos:broader;zthes_BT
001_60;001;skos:broader;structural
001_60;001_00;skos:broader;zthes_BT
001_75;001;skos:broader;structural
001_75;001_00;skos:broader;zthes_BT
001_80;001;skos:broader;structural
001_80;001_00;skos:broader;zthes_BT
001_92;001;skos:broader;structural
001_92;001_00;skos:broader;zthes_BT
001_96;001;skos:broader;structural
001_96;001_00;skos:broader;zthes_BT
002_00;002;skos:broader;structural
002_05;002;skos:broader;structural
002_05;002_00;skos:broader;zthes_BT
002_34;002;skos:broader;structural
002_34;002_00;skos:broader;zthes_BT
002_37;002;skos:broader;structural
002_37;002_00;skos:broader;zthes_BT
002_44;002;skos:broader;structural
002_44;002_00;skos:broader;zthes_BT
002_48;002;skos:broader;structural
002_48;002_00;skos:broader;zthes_BT
002_49;002;skos:broader;structural
002_49;002_00;skos:broader;zthes_BT
002_51;002;skos:broader;structural
002_51;002_00;skos:broader;zthes_BT
002_61;002;skos:broader;structural
002_61;002_00;skos:broader;zthes_BT
002_71;002;skos:broader;structural
002_71;002_00;skos:broader;zthes_BT
002_92;002;skos:broader;structural
002_92;002_00;skos:broader;zthes_BT
011_00;011;skos:broader;structural
011_01;011;skos:broader;structural
011_01;011_00;skos:broader;zthes_BT
011_02;011;skos:broader;structural
011_02;011_00;skos:broader;zthes_BT
011_03;011;skos:broader;structural
011_03;011_00;skos:broader;zthes_BT
011_04;011;skos:broader;structural
011_04;011_00;skos:broader;zthes_BT
011_05;011;skos:broader;structural
011_05;011_00;skos:broader;zthes_BT
011_06;011;skos:broader;structural
011_06;011_00;skos:broader;zthes_BT
011_07;011;skos:broader;structural
011_07;011_00;skos:broader;zthes_BT
011_08;011;skos:broader;structural
011_08;011_00;skos:broader;zthes_BT
011_09;011;skos:broader;structural
011_09;011_00;skos:broader;zthes_BT
011_10;011;skos:broader;structural
011_10;011_00;skos:broader;zthes_BT
011_11;011;skos:broader;structural
011_11;011_00;skos:broader;zthes_BT
011_12;011;skos:broader;structural
011_12;011_00;skos:broader;zthes_BT
011_13;011;skos:broader;structural
011_13;011_00;skos:broader;zthes_BT
011_14;011;skos:broader;structural
011_14;011_00;skos:broader;zthes_BT
011_15;011;skos:broader;structural
011_15;011_00;skos:broader;zthes_BT
011_17;011;skos:broader;structural
011_17;011_00;skos:broader;zthes_BT
011_18;011;skos:broader;structural
011_18;011_00;skos:broader;zthes_BT
011_20;011;skos:broader;structural
011_20;011_00;skos:broader;zthes_BT
011_21;011;skos:broader;structural
011_21;011_00;skos:broader;zthes_BT
011_25;011;skos:broader;structural
011_25;011_00;skos:broader;zthes_BT
011_27;011;skos:broader;structural
011_27;011_00;skos:broader;zthes_BT
011_31;011;skos:broader;structural
011_31;011_00;skos:broader;zthes_BT
011_37;011;skos:broader;structural
011_37;011_00;skos:broader;zthes_BT
011_39;011;skos:broader;structural
011_39;011_00;skos:broader;zthes_BT
011_41;011;skos:broader;structural
011_41;011_00;skos:broader;zthes_BT
011_44;011;skos:broader;structural
011_44;011_00;skos:broader;zthes_BT
011_45;011;skos:broader;structural
011_45;011_00;skos:broader;zthes_BT
011_46;011;skos:broader;structural
011_46;011_00;skos:broader;zthes_BT
011_49;011;skos:broader;structural
011_49;011_00;skos:broader;zthes_BT
011_52;011;skos:broader;structural
011_52;011_00;skos:broader;zthes_BT
011_53;011;skos:broader;structural
011_53;011_00;skos:broader;zthes_BT
011_58;011;skos:broader;structural
011_58;011_00;skos:broader;zthes_BT
011_60;011;skos:broader;structural
011_60;011_00;skos:broader;zthes_BT
011_63;011;skos:broader;structural
011_63;011_00;skos:broader;zthes_BT
011_64;011;skos:broader;structural
011_64;011_00;skos:broader;zthes_BT
011_65;011;skos:broader;structural
011_65;011_00;skos:broader;zthes_BT
011_66;011;skos:broader;structural
011_66;011_00;skos:broader;zthes_BT
011_67;011;skos:broader;structural
011_67;011_00;skos:broader;zthes_BT
011_68;011;skos:broader;structural
011_68;011_00;skos:broader;zthes_BT
011_69;011;skos:broader;structural
011_69;011_00;skos:broader;zthes_BT
011_71;011;skos:broader;structural
011_71;011_00;skos:broader;zthes_BT
011_73;011;skos:broader;structural
011_73;011_00;skos:broader;zthes_BT
011_79;011;skos:broader;structural
011_79;011_00;skos:broader;zthes_BT
011_81;011;skos:broader;structural
011_81;011_00;skos:broader;zthes_BT
011_84;011;skos:broader;structural
011_84;011_00;skos:broader;zthes_BT
011_88;011;skos:broader;structural
011_88;011_00;skos:broader;zthes_BT
011_89;011;skos:broader;structural
011_89;011_00;skos:broader;zthes_BT
011_91;011;skos:broader;structural
011_91;011_00;skos:broader;zthes_BT
011_95;011;skos:broader;structural
011_95;011_00;skos:broader;zthes_BT
011_96;011;skos:broader;structural
011_96;011_00;skos:broader;zthes_BT
011_98;011;skos:broader;structural
011_98;011_00;skos:broader;zthes_BT
011_99;011;skos:broader;structural
011_99;011_00;skos:broader;zthes_BT
021_00;021;skos:broader;structural
021_01;021;skos:broader;structural
021_01;021_00;skos:broader;zthes_BT
021_02;021;skos:broader;structural
021_02;021_00;skos:broader;zthes_BT
021_03;021;skos:broader;structural
021_03;021_00;skos:broader;zthes_BT
021_04;021;skos:broader;structural
021_04;021_00;skos:broader;zthes_BT
021_05;021;skos:broader;structural
021_05;021_00;skos:broader;zthes_BT
