concept_id;parent_id;level;label_fr;parent_label_fr
00;0;2;France;Géographie
01;0;2;Europe;Géographie
02;0;2;Amérique;Géographie
03;0;2;Afrique;Géographie
04;0;2;Asie;Géographie
05;0;2;Océanie;Géographie
06;0;2;Antarctique;Géographie
11;1;2;Gestion de l'entreprise;L'entreprise et son management
12;1;2;Marketing;L'entreprise et son management
13;1;2;Finance;L'entreprise et son management
14;1;2;Production;L'entreprise et son management
15;1;2;Recherche;L'entreprise et son management
16;1;2;Relations humaines;L'entreprise et son management
21;2;2;Science des données;Les outils pour gérer l'entreprise
22;2;2;Sciences et techniques de l'information;Les outils pour gérer l'entreprise
31;3;2;Politique;Les Environnements de l'entreprise
32;3;2;Droit;Les Environnements de l'entreprise
33;3;2;Economie;Les Environnements de l'entreprise
34;3;2;Environnement naturel;Les Environnements de l'entreprise
35;3;2;Société;Les Environnements de l'entreprise
36;3;2;Culture;Les Environnements de l'entreprise
41;4;2;Listes;Listes outils
42;4;2;Secteurs d'activité;Listes outils
001;00;3;REGION FRANCAISE;France
002;00;3;DOM TOM;France
011;01;3;EUROPE;Europe
021;02;3;AMERIQUE;Amérique
031;03;3;AFRIQUE;Afrique
041;04;3;ASIE;Asie
051;05;3;OCEANIE;Océanie
061;06;3;CERCLE POLAIRE;Antarctique
111;11;3;ORGANISATION;Gestion de l'entreprise
112;11;3;ENTREPRISE;Gestion de l'entreprise
113;11;3;STRATEGIE;Gestion de l'entreprise
121;12;3;GESTION DU MARKETING;Marketing
122;12;3;ETUDE DE MARCHE;Marketing
123;12;3;DISTRIBUTION;Marketing
124;12;3;VENTE;Marketing
125;12;3;PUBLICITE;Marketing
131;13;3;FINANCE D'ENTREPRISE;Finance
132;13;3;COMPTABILITE;Finance
133;13;3;CONTROLE DE GESTION;Finance
134;13;3;FINANCE DE MARCHE;Finance
141;14;3;GESTION DE LA PRODUCTION;Production
142;14;3;TECHNIQUE INDUSTRIELLE;Production
143;14;3;TRANSPORT;Production
151;15;3;RECHERCHE ET DEVELOPPEMENT;Recherche
152;15;3;TECHNOLOGIE;Recherche
161;16;3;GESTION DES RESSOURCES HUMAINES;Relations humaines
162;16;3;RELATIONS DU TRAVAIL;Relations humaines
163;16;3;FORMATION;Relations humaines
164;16;3;SCIENCE DU COMPORTEMENT;Relations humaines
211;21;3;MATHEMATIQUES;Science des données
212;21;3;STATISTIQUE;Science des données
213;21;3;INFORMATIQUE;Science des données
222;22;3;COMMUNICATION;Sciences et techniques de l'information
223;22;3;SCIENCE DE L'INFORMATION;Sciences et techniques de l'information
224;22;3;TIC;Sciences et techniques de l'information
311;31;3;ENVIRONNEMENT POLITIQUE;Politique
321;32;3;DROIT;Droit
322;32;3;DROIT COMMERCIAL;Droit
323;32;3;DROIT CIVIL;Droit
