concept_id;level;level_name;label_fr;label_en;definition_fr;definition_en;source_biblio;parent_id;path_ids;path_labels;in_site;in_zthes;source_authority;scheme_url;n_children;n_synonyms;n_related;has_definition
0;1;categorie;Géographie;;;;;;0;Géographie;1;0;site;;7;0;0;0
1;1;categorie;L'entreprise et son management;;;;;;1;L'entreprise et son management;1;0;site;;6;0;0;0
2;1;categorie;Les outils pour gérer l'entreprise;;;;;;2;Les outils pour gérer l'entreprise;1;0;site;;2;0;0;0
3;1;categorie;Les Environnements de l'entreprise;;;;;;3;Les Environnements de l'entreprise;1;0;site;;6;0;0;0
4;1;categorie;Listes outils;;;;;;4;Listes outils;1;0;site;;2;0;0;0
00;2;groupe;France;;;;;0;0 > 00;Géographie > France;1;0;site;;2;0;0;0
01;2;groupe;Europe;;;;;0;0 > 01;Géographie > Europe;1;0;site;;1;0;0;0
02;2;groupe;Amérique;;;;;0;0 > 02;Géographie > Amérique;1;0;site;;1;0;0;0
03;2;groupe;Afrique;;;;;0;0 > 03;Géographie > Afrique;1;0;site;;1;0;0;0
04;2;groupe;Asie;;;;;0;0 > 04;Géographie > Asie;1;0;site;;1;0;0;0
05;2;groupe;Océanie;;;;;0;0 > 05;Géographie > Océanie;1;0;site;;1;0;0;0
06;2;groupe;Antarctique;;;;;0;0 > 06;Géographie > Antarctique;1;0;site;;1;0;0;0
11;2;groupe;Gestion de l'entreprise;;;;;1;1 > 11;L'entreprise et son management > Gestion de l'entreprise;1;0;site;;3;0;0;0
12;2;groupe;Marketing;;;;;1;1 > 12;L'entreprise et son management > Marketing;1;0;site;;5;0;0;0
13;2;groupe;Finance;;;;;1;1 > 13;L'entreprise et son management > Finance;1;0;site;;4;0;0;0
14;2;groupe;Production;;;;;1;1 > 14;L'entreprise et son management > Production;1;0;site;;3;0;0;0
15;2;groupe;Recherche;;;;;1;1 > 15;L'entreprise et son management > Recherche;1;0;site;;2;0;0;0
16;2;groupe;Relations humaines;;;;;1;1 > 16;L'entreprise et son management > Relations humaines;1;0;site;;4;0;0;0
21;2;groupe;Science des données;;;;;2;2 > 21;Les outils pour gérer l'entreprise > Science des données;1;0;site;;3;0;0;0
22;2;groupe;Sciences et techniques de l'information;;;;;2;2 > 22;Les outils pour gérer l'entreprise > Sciences et techniques de l'information;1;0;site;;3;0;0;0
31;2;groupe;Politique;;;;;3;3 > 31;Les Environnements de l'entreprise > Politique;1;0;site;;1;0;0;0
32;2;groupe;Droit;;;;;3;3 > 32;Les Environnements de l'entreprise > Droit;1;0;site;;4;0;0;0
33;2;groupe;Economie;;;;;3;3 > 33;Les Environnements de l'entreprise > Economie;1;0;site;;5;0;0;0
34;2;groupe;Environnement naturel;;;;;3;3 > 34;Les Environnements de l'entreprise > Environnement naturel;1;0;site;;2;0;0;0
35;2;groupe;Société;;;;;3;3 > 35;Les Environnements de l'entreprise > Société;1;0;site;;2;0;0;0
36;2;groupe;Culture;;;;;3;3 > 36;Les Environnements de l'entreprise > Culture;1;0;site;;2;0;0;0
41;2;groupe;Listes;;;;;4;4 > 41;Listes outils > Listes;1;0;site;;7;0;0;0
42;2;groupe;Secteurs d'activité;;;;;4;4 > 42;Listes outils > Secteurs d'activité;1;0;site;;10;0;0;0
001;3;sous_groupe;REGION FRANCAISE;FRENCH REGION;;;;00;0 > 00 > 001;Géographie > France > REGION FRANCAISE;1;1;zthes;https://aciege.org/CS/Fra/FRA_001.html;14;0;0;0
002;3;sous_groupe;DOM TOM;DOM TOM;;;;00;0 > 00 > 002;Géographie > France > DOM TOM;1;1;zthes;https://aciege.org/CS/Fra/FRA_002.html;11;0;0;0
011;3;sous_groupe;EUROPE;EUROPE;;;;01;0 > 01 > 011;Géographie > Europe > EUROPE;1;1;zthes;https://aciege.org/CS/Fra/FRA_011.html;53;0;0;0
021;3;sous_groupe;AMERIQUE;AMERICA;;;;02;0 > 02 > 021;Géographie > Amérique > AMERIQUE;1;1;zthes;https://aciege.org/CS/Fra/FRA_021.html;38;0;0;0
031;3;sous_groupe;AFRIQUE;AFRICA;;;;03;0 > 03 > 031;Géographie > Afrique > AFRIQUE;1;1;zthes;https://aciege.org/CS/Fra/FRA_031.html;55;0;0;0
041;3;sous_groupe;ASIE;ASIA;;;;04;0 > 04 > 041;Géographie > Asie > ASIE;1;1;zthes;https://aciege.org/CS/Fra/FRA_041.html;53;0;0;0
051;3;sous_groupe;OCEANIE;OCEANIA;;;;05;0 > 05 > 051;Géographie > Océanie > OCEANIE;1;1;zthes;https://aciege.org/CS/Fra/FRA_051.html;12;0;0;0
061;3;sous_groupe;CERCLE POLAIRE;POLAR CIRCLE;;;;06;0 > 06 > 061;Géographie > Antarctique > CERCLE POLAIRE;1;1;zthes;https://aciege.org/CS/Fra/FRA_061.html;3;0;0;0
111;3;sous_groupe;ORGANISATION;ORGANIZATION;;;;11;1 > 11 > 111;L'entreprise et son management > Gestion de l'entreprise > ORGANISATION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_111.html;34;0;0;0
112;3;sous_groupe;ENTREPRISE;COMPANY;;;;11;1 > 11 > 112;L'entreprise et son management > Gestion de l'entreprise > ENTREPRISE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_112.html;49;0;0;0
113;3;sous_groupe;STRATEGIE;STRATEGY;;;;11;1 > 11 > 113;L'entreprise et son management > Gestion de l'entreprise > STRATEGIE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_113.html;21;0;0;0
121;3;sous_groupe;GESTION DU MARKETING;MARKETING MANAGEMENT;;;;12;1 > 12 > 121;L'entreprise et son management > Marketing > GESTION DU MARKETING;1;1;zthes;https://aciege.org/Schm/Fra/FRA_121.html;53;0;0;0
122;3;sous_groupe;ETUDE DE MARCHE;MARKET STUDY;;;;12;1 > 12 > 122;L'entreprise et son management > Marketing > ETUDE DE MARCHE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_122.html;20;0;0;0
123;3;sous_groupe;DISTRIBUTION;DISTRIBUTION;;;;12;1 > 12 > 123;L'entreprise et son management > Marketing > DISTRIBUTION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_123.html;30;0;0;0
124;3;sous_groupe;VENTE;SALE;;;;12;1 > 12 > 124;L'entreprise et son management > Marketing > VENTE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_124.html;45;0;0;0
125;3;sous_groupe;PUBLICITE;ADVERTISING;;;;12;1 > 12 > 125;L'entreprise et son management > Marketing > PUBLICITE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_125.html;30;0;0;0
131;3;sous_groupe;FINANCE D'ENTREPRISE;CORPORATE FINANCE;;;;13;1 > 13 > 131;L'entreprise et son management > Finance > FINANCE D'ENTREPRISE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_131.html;49;0;0;0
132;3;sous_groupe;COMPTABILITE;ACCOUNTING;;;;13;1 > 13 > 132;L'entreprise et son management > Finance > COMPTABILITE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_132.html;56;0;0;0
