concept_id;label_fr;synonym;lang;relation;source
001_02;GRAND EST;Alsace;fr;altLabel;zthes_UF
001_02;GRAND EST;Champagne-Ardenne;fr;altLabel;zthes_UF
001_02;GRAND EST;Lorraine;fr;altLabel;zthes_UF
001_02;GRAND EST;Alsace;en;altLabel;zthes_UF
001_02;GRAND EST;Champagne-Ardenne;en;altLabel;zthes_UF
001_02;GRAND EST;Lorraine;en;altLabel;zthes_UF
001_04;OCCITANIE;Languedoc-Roussillon;fr;altLabel;zthes_UF
001_04;OCCITANIE;Midi-Pyrenees;fr;altLabel;zthes_UF
001_04;OCCITANIE;Languedoc-Roussillon;en;altLabel;zthes_UF
001_04;OCCITANIE;Midi-Pyrenees;en;altLabel;zthes_UF
001_16;AUVERGNE-RHÔNE-ALPES;Auvergne;fr;altLabel;zthes_UF
001_16;AUVERGNE-RHÔNE-ALPES;Rhône-Alpes;fr;altLabel;zthes_UF
001_16;AUVERGNE-RHÔNE-ALPES;Auvergne;en;altLabel;zthes_UF
001_16;AUVERGNE-RHÔNE-ALPES;Rhône-Alpes;en;altLabel;zthes_UF
001_30;NOUVELLE-AQUITAINE;Limousin;fr;altLabel;zthes_UF
001_30;NOUVELLE-AQUITAINE;Poitou-Charentes;fr;altLabel;zthes_UF
001_30;NOUVELLE-AQUITAINE;Aquitaine;fr;altLabel;zthes_UF
001_30;NOUVELLE-AQUITAINE;Limousin;en;altLabel;zthes_UF
001_30;NOUVELLE-AQUITAINE;Poitou-Charentes;en;altLabel;zthes_UF
001_30;NOUVELLE-AQUITAINE;Aquitaine;en;altLabel;zthes_UF
001_44;CENTRE-VAL DE LOIRE;Centre;fr;altLabel;zthes_UF
001_44;CENTRE-VAL DE LOIRE;Center;en;altLabel;zthes_UF
001_57;BOURGOGNE-FRANCHE-COMTE;Franche-Comté;fr;altLabel;zthes_UF
001_57;BOURGOGNE-FRANCHE-COMTE;Bourgogne;fr;altLabel;zthes_UF
001_57;BOURGOGNE-FRANCHE-COMTE;Franche-Comté;en;altLabel;zthes_UF
001_57;BOURGOGNE-FRANCHE-COMTE;Burgundy;en;altLabel;zthes_UF
001_92;NORMANDIE;Haute-Normandie;fr;altLabel;zthes_UF
001_92;NORMANDIE;Basse-Normandie;fr;altLabel;zthes_UF
001_92;NORMANDIE;upper Normandy;en;altLabel;zthes_UF
001_92;NORMANDIE;Lower Normandy;en;altLabel;zthes_UF
001_96;HAUT-DE-FRANCE;Nord-Pas-de Calais;fr;altLabel;zthes_UF
001_96;HAUT-DE-FRANCE;Picardie;fr;altLabel;zthes_UF
001_96;HAUT-DE-FRANCE;Nord-Pas-de Calais;en;altLabel;zthes_UF
001_96;HAUT-DE-FRANCE;Picardy;en;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Iles Amsterdam;fr;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Ile Saint Paul;fr;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Iles Crozet;fr;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Iles Kerguelen;fr;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Amsterdam Islands;en;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Saint Paul Island;en;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Crozet Islands;en;altLabel;zthes_UF
002_05;TERRES AUSTRALES ET ANTARCTIQUES;Kerguelen Islands;en;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Ile Bassas da India;fr;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Ile Juan de Nova;fr;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Iles Europe;fr;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Iles Glorieuses;fr;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Ile Tromelin;fr;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Bassas da India Island;en;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Juan de Nova Island;en;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Europe Islands;en;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Glorioso Islands;en;altLabel;zthes_UF
002_34;ILE DE LA REUNION;Tromelin Island;en;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Iles Bélep;fr;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Iles Chesterfield;fr;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Ile des pins;fr;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Iles Huon;fr;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Iles Loyauté;fr;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Ile Walpole;fr;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Belep Islands;en;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Chesterfield Islands;en;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Isle of Pines;en;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Huon Islands;en;altLabel;zthes_UF
002_37;NOUVELLE CALEDONIE;Loyalty Islands;en;altLabel;zthes_UF
