id;parent_id;niveau;niveau_nom;code;libelle;chemin_codes;chemin_libelles;definition;source;url
cat:1;;1;categorie;1;L'entreprise et son management;1;L'entreprise et son management;;;
grp:11;cat:1;2;groupe;11;Gestion de l'entreprise;1 > 11;L'entreprise et son management > Gestion de l'entreprise;;;
sg:111;grp:11;3;sous_groupe;111;ORGANISATION;1 > 11 > 111;L'entreprise et son management > Gestion de l'entreprise > ORGANISATION;;;https://aciege.org/Schm/Fra/FRA_111.html
sg:112;grp:11;3;sous_groupe;112;ENTREPRISE;1 > 11 > 112;L'entreprise et son management > Gestion de l'entreprise > ENTREPRISE;;;https://aciege.org/Schm/Fra/FRA_112.html
sg:113;grp:11;3;sous_groupe;113;STRATEGIE;1 > 11 > 113;L'entreprise et son management > Gestion de l'entreprise > STRATEGIE;;;https://aciege.org/Schm/Fra/FRA_113.html
grp:12;cat:1;2;groupe;12;Marketing;1 > 12;L'entreprise et son management > Marketing;;;
sg:121;grp:12;3;sous_groupe;121;GESTION DU MARKETING;1 > 12 > 121;L'entreprise et son management > Marketing > GESTION DU MARKETING;;;https://aciege.org/Schm/Fra/FRA_121.html
sg:122;grp:12;3;sous_groupe;122;ETUDE DE MARCHE;1 > 12 > 122;L'entreprise et son management > Marketing > ETUDE DE MARCHE;;;https://aciege.org/Schm/Fra/FRA_122.html
sg:123;grp:12;3;sous_groupe;123;DISTRIBUTION;1 > 12 > 123;L'entreprise et son management > Marketing > DISTRIBUTION;;;https://aciege.org/Schm/Fra/FRA_123.html
sg:124;grp:12;3;sous_groupe;124;VENTE;1 > 12 > 124;L'entreprise et son management > Marketing > VENTE;;;https://aciege.org/Schm/Fra/FRA_124.html
sg:125;grp:12;3;sous_groupe;125;PUBLICITE;1 > 12 > 125;L'entreprise et son management > Marketing > PUBLICITE;;;https://aciege.org/Schm/Fra/FRA_125.html
grp:13;cat:1;2;groupe;13;Finance;1 > 13;L'entreprise et son management > Finance;;;
sg:131;grp:13;3;sous_groupe;131;FINANCE D'ENTREPRISE;1 > 13 > 131;L'entreprise et son management > Finance > FINANCE D'ENTREPRISE;;;https://aciege.org/Schm/Fra/FRA_131.html
sg:132;grp:13;3;sous_groupe;132;COMPTABILITE;1 > 13 > 132;L'entreprise et son management > Finance > COMPTABILITE;;;https://aciege.org/Schm/Fra/FRA_132.html
sg:133;grp:13;3;sous_groupe;133;CONTROLE DE GESTION;1 > 13 > 133;L'entreprise et son management > Finance > CONTROLE DE GESTION;;;https://aciege.org/Schm/Fra/FRA_133.html
sg:134;grp:13;3;sous_groupe;134;FINANCE DE MARCHE;1 > 13 > 134;L'entreprise et son management > Finance > FINANCE DE MARCHE;;;https://aciege.org/Schm/Fra/FRA_134.html
grp:14;cat:1;2;groupe;14;Production;1 > 14;L'entreprise et son management > Production;;;
sg:141;grp:14;3;sous_groupe;141;GESTION DE LA PRODUCTION;1 > 14 > 141;L'entreprise et son management > Production > GESTION DE LA PRODUCTION;;;https://aciege.org/Schm/Fra/FRA_141.html
sg:142;grp:14;3;sous_groupe;142;TECHNIQUE INDUSTRIELLE;1 > 14 > 142;L'entreprise et son management > Production > TECHNIQUE INDUSTRIELLE;;;https://aciege.org/Schm/Fra/FRA_142.html
sg:143;grp:14;3;sous_groupe;143;TRANSPORT;1 > 14 > 143;L'entreprise et son management > Production > TRANSPORT;;;https://aciege.org/Schm/Fra/FRA_143.html
grp:15;cat:1;2;groupe;15;Recherche;1 > 15;L'entreprise et son management > Recherche;;;
sg:151;grp:15;3;sous_groupe;151;RECHERCHE ET DEVELOPPEMENT;1 > 15 > 151;L'entreprise et son management > Recherche > RECHERCHE ET DEVELOPPEMENT;;;https://aciege.org/Schm/Fra/FRA_151.html
sg:152;grp:15;3;sous_groupe;152;TECHNOLOGIE;1 > 15 > 152;L'entreprise et son management > Recherche > TECHNOLOGIE;;;https://aciege.org/Schm/Fra/FRA_152.html
grp:16;cat:1;2;groupe;16;Relations humaines;1 > 16;L'entreprise et son management > Relations humaines;;;
sg:161;grp:16;3;sous_groupe;161;GESTION DES RESSOURCES HUMAINES;1 > 16 > 161;L'entreprise et son management > Relations humaines > GESTION DES RESSOURCES HUMAINES;;;https://aciege.org/Schm/Fra/FRA_161.html
sg:162;grp:16;3;sous_groupe;162;RELATIONS DU TRAVAIL;1 > 16 > 162;L'entreprise et son management > Relations humaines > RELATIONS DU TRAVAIL;;;https://aciege.org/Schm/Fra/FRA_162.html
sg:163;grp:16;3;sous_groupe;163;FORMATION;1 > 16 > 163;L'entreprise et son management > Relations humaines > FORMATION;;;https://aciege.org/Schm/Fra/FRA_163.html
sg:164;grp:16;3;sous_groupe;164;SCIENCE DU COMPORTEMENT;1 > 16 > 164;L'entreprise et son management > Relations humaines > SCIENCE DU COMPORTEMENT;;;https://aciege.org/Schm/Fra/FRA_164.html
cat:2;;1;categorie;2;Les outils pour gérer l'entreprise;2;Les outils pour gérer l'entreprise;;;
grp:21;cat:2;2;groupe;21;Science des données;2 > 21;Les outils pour gérer l'entreprise > Science des données;;;
sg:211;grp:21;3;sous_groupe;211;MATHEMATIQUES;2 > 21 > 211;Les outils pour gérer l'entreprise > Science des données > MATHEMATIQUES;;;https://aciege.org/Schm/Fra/FRA_211.html
sg:212;grp:21;3;sous_groupe;212;STATISTIQUE;2 > 21 > 212;Les outils pour gérer l'entreprise > Science des données > STATISTIQUE;;;https://aciege.org/Schm/Fra/FRA_212.html
sg:213;grp:21;3;sous_groupe;213;INFORMATIQUE;2 > 21 > 213;Les outils pour gérer l'entreprise > Science des données > INFORMATIQUE;;;https://aciege.org/Schm/Fra/FRA_213.html
grp:22;cat:2;2;groupe;22;Sciences et techniques de l'information;2 > 22;Les outils pour gérer l'entreprise > Sciences et techniques de l'information;;;
sg:222;grp:22;3;sous_groupe;222;COMMUNICATION;2 > 22 > 222;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > COMMUNICATION;;;https://aciege.org/Schm/Fra/FRA_222.html
sg:223;grp:22;3;sous_groupe;223;SCIENCE DE L'INFORMATION;2 > 22 > 223;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > SCIENCE DE L'INFORMATION;;;https://aciege.org/Schm/Fra/FRA_223.html
sg:224;grp:22;3;sous_groupe;224;TIC;2 > 22 > 224;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > TIC;;;https://aciege.org/Schm/Fra/FRA_224.html
cat:3;;1;categorie;3;Les Environnements de l'entreprise;3;Les Environnements de l'entreprise;;;
grp:31;cat:3;2;groupe;31;Politique;3 > 31;Les Environnements de l'entreprise > Politique;;;
sg:311;grp:31;3;sous_groupe;311;ENVIRONNEMENT POLITIQUE;3 > 31 > 311;Les Environnements de l'entreprise > Politique > ENVIRONNEMENT POLITIQUE;;;https://aciege.org/Schm/Fra/FRA_311.html
grp:32;cat:3;2;groupe;32;Droit;3 > 32;Les Environnements de l'entreprise > Droit;;;
sg:321;grp:32;3;sous_groupe;321;DROIT;3 > 32 > 321;Les Environnements de l'entreprise > Droit > DROIT;;;https://aciege.org/Schm/Fra/FRA_321.html
sg:322;grp:32;3;sous_groupe;322;DROIT COMMERCIAL;3 > 32 > 322;Les Environnements de l'entreprise > Droit > DROIT COMMERCIAL;;;https://aciege.org/Schm/Fra/FRA_322.html
sg:323;grp:32;3;sous_groupe;323;DROIT CIVIL;3 > 32 > 323;Les Environnements de l'entreprise > Droit > DROIT CIVIL;;;https://aciege.org/Schm/Fra/FRA_323.html
sg:324;grp:32;3;sous_groupe;324;DROIT SOCIAL;3 > 32 > 324;Les Environnements de l'entreprise > Droit > DROIT SOCIAL;;;https://aciege.org/Schm/Fra/FRA_324.html
